2024-08-12 12:07:51 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435671086, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281694043, 'o': '2543.34', 'c': '2543.00', 'h': '2543.35', 'l': '2541.93', 'v': '232.290', 'n': 831, 'x': False, 'q': '590608.94828', 'V': '103.725', 'Q': '263716.60697', 'B': '0'}}
2024-08-12 12:07:51 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435671336, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281787753, 'o': '2543.34', 'c': '2543.55', 'h': '2543.55', 'l': '2541.93', 'v': '277.001', 'n': 918, 'x': False, 'q': '704321.74802', 'V': '148.436', 'Q': '377429.40671', 'B': '0'}}
2024-08-12 12:07:51 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435671662, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281844924, 'o': '2543.34', 'c': '2543.40', 'h': '2543.67', 'l': '2541.93', 'v': '305.602', 'n': 959, 'x': False, 'q': '777072.94474', 'V': '149.245', 'Q': '379487.20711', 'B': '0'}}
2024-08-12 12:07:52 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435672112, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281920526, 'o': '2543.34', 'c': '2542.90', 'h': '2543.67', 'l': '2541.93', 'v': '307.870', 'n': 987, 'x': False, 'q': '782840.89356', 'V': '149.245', 'Q': '379487.20711', 'B': '0'}}
2024-08-12 12:07:52 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435672639, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281952422, 'o': '2543.34', 'c': '2542.90', 'h': '2543.67', 'l': '2541.93', 'v': '315.059', 'n': 990, 'x': False, 'q': '801121.80166', 'V': '149.245', 'Q': '379487.20711', 'B': '0'}}
2024-08-12 12:07:52 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435672962, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281996477, 'o': '2543.34', 'c': '2542.60', 'h': '2543.67', 'l': '2541.93', 'v': '320.150', 'n': 1011, 'x': False, 'q': '814066.48458', 'V': '149.245', 'Q': '379487.20711', 'B': '0'}}
2024-08-12 12:07:53 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435673613, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141282038359, 'o': '2543.34', 'c': '2542.54', 'h': '2543.67', 'l': '2541.93', 'v': '320.629', 'n': 1014, 'x': False, 'q': '815284.36104', 'V': '149.704', 'Q': '380654.23297', 'B': '0'}}
2024-08-12 12:07:53 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435673906, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141282052955, 'o': '2543.34', 'c': '2542.84', 'h': '2543.67', 'l': '2541.93', 'v': '322.036', 'n': 1034, 'x': False, 'q': '818861.81199', 'V': '151.111', 'Q': '384231.68392', 'B': '0'}}
2024-08-12 12:07:54 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435674457, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141282086288, 'o': '2543.34', 'c': '2542.84', 'h': '2543.67', 'l': '2541.93', 'v': '322.451', 'n': 1036, 'x': False, 'q': '819917.09037', 'V': '151.504', 'Q': '385231.02004', 'B': '0'}}
2024-08-12 12:07:54 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435674778, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141282099258, 'o': '2543.34', 'c': '2543.14', 'h': '2543.67', 'l': '2541.93', 'v': '324.524', 'n': 1068, 'x': False, 'q': '825188.98927', 'V': '152.689', 'Q': '388244.61950', 'B': '0'}}
